document_id,reviews,sentiment
10,embarrassed say paid 50 something replaced product twice bought store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars�,positive
11,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,negative
12,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,negative
13,love much best ever used,positive
14,unable would buy time,positive
15,feels unable dropped,positive
16,right aliens perfectly,positive
17,everything needed,positive
18,year since bought still using first cracks used two yet,negative
19,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,negative
20,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,negative
21,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,negative
22,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,negative
23,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,positive
24,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,netural
25,worth,negative
26,aliens much unable,neutral
27,hopefully save someone didn hand great love include guide laying,neutral
28,pleased 2 extra case theyre needed future installed is thank,positive
29,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,negative
30,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,negative
31,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,negative
32,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,negative
33,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,negative
34,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,positive
35,comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
36,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
37,great feel like high quality,
38,already broken disappointed according reviews,
39,none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
40,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
41,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,
42,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,
43,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,
44,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,
45, this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
46,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
47,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector” least first products would 12 stuck 11 word warning dont stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,
48,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,
49,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
50,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
51,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,
52,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,
53,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,
54,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,
55, this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
56,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
57,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector” least first products would 12 stuck 11 word warning dont stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,
58,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,
59,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
60,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
61,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,
62,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,
63,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,
64,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,
65, this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
66,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
67,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector” least first products would 12 stuck 11 word warning dont stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,
68,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,
69,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
70,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
71,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,
72,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,
73,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,
74,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,
75, this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
76,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
77,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector” least first products would 12 stuck 11 word warning dont stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,
78,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,
79,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
80,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
81,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,
82,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,
83,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,
84,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,
85, this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
86,always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
87,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector” least first products would 12 stuck 11 word warning dont stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,
88,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,
89,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
90,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
91,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,
92,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,
93,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,
94,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,
95, this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
96,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
97,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector” least first products would 12 stuck 11 word warning dont stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,
98,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,
99,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
100,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
101,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures im lost didnt really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing dont want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,
102,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,
103,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,
104,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,
105, this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,
106,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,
107,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector” least first products would 12 stuck 11 word warning dont stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,
108,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,
109,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,
110,embarrassed say paid 50 something replaced product twice bought   store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars  ,
